#
# MD1: a minimal molecular dynamics program
#    modified version (10/08/2010)
#
# Equilibration run
#  Input sample: ../Task2/Step1_Startup/sample12.dat
#          (positions, velocities, accelerations read from file)
# Output sample: ../Task2/Step1_Startup/sampleT94.4.dat
# Number of steps:     800, time step: 0.0046, total time:      3.6800
# Number of atoms:   864
# Box size:   10.228800   10.228800   10.228800, Volume:       1070.222
# Density:    0.807309 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
     28      0.807970      1.211956     -4.978272     -3.766316      0.458549
     29      0.803709      1.205563     -4.971879     -3.766316      0.486443
     30      0.798453      1.197680     -4.963986     -3.766306      0.519217
     31      0.792355      1.188533     -4.954822     -3.766290      0.556793
     32      0.785652      1.178478     -4.944744     -3.766266      0.598206
     33      0.778653      1.167979     -4.934219     -3.766240      0.639932
     34      0.771697      1.157545     -4.923760     -3.766215      0.681252
     35      0.765102      1.147653     -4.913849     -3.766195      0.721134
     36      0.759141      1.138711     -4.904892     -3.766180      0.755675
     37      0.754036      1.131055     -4.897223     -3.766168      0.785756
     38      0.749981      1.124971     -4.891127     -3.766156      0.809547
     39      0.747132      1.120698     -4.886844     -3.766146      0.826577
     40      0.745590      1.118385     -4.884531     -3.766146      0.836232
     41      0.745381      1.118072     -4.884224     -3.766153      0.837618
     42      0.746447      1.119671     -4.885834     -3.766163      0.832580
     43      0.748674      1.123011     -4.889185     -3.766175      0.820337
     44      0.751912      1.127868     -4.894059     -3.766191      0.801942
     45      0.755976      1.133964     -4.900176     -3.766211      0.778944
     46      0.760628      1.140943     -4.907176     -3.766234      0.752324
     47      0.765600      1.148399     -4.914652     -3.766253      0.723472
     48      0.770646      1.155969     -4.922230     -3.766261      0.694652
     49      0.775606      1.163409     -4.929667     -3.766258      0.665279
     50      0.780413      1.170619     -4.936869     -3.766251      0.637442
     51      0.785063      1.177595     -4.943839     -3.766244      0.610399
     52      0.789553      1.184329     -4.950574     -3.766245      0.585213
     53      0.793802      1.190702     -4.956959     -3.766257      0.561209
     54      0.797655      1.196482     -4.962757     -3.766275      0.540165
     55      0.800926      1.201389     -4.967678     -3.766288      0.522191
     56      0.803454      1.205181     -4.971476     -3.766295      0.509006
     57      0.805147      1.207721     -4.974016     -3.766295      0.500776
     58      0.805993      1.208990     -4.975281     -3.766292      0.497096
     59      0.806026      1.209039     -4.975327     -3.766288      0.497541
