#
# MD1: a minimal molecular dynamics program
#    modified version (10/08/2010)
#
# Direct sampling of S(k)
#  Input sample: ../Task2/Step1_Startup/sampleT94.4.dat
#          (positions, velocities, accelerations read from file)
# Output sample: ../Task2/Step1_Startup/sample22.dat
# Number of steps:    9000, time step: 0.0046, total time:     41.4000
# Number of atoms:   864
# Box size:   10.228800   10.228800   10.228800, Volume:       1070.222
# Density:    0.807309 (unchanged)
# Free evolution run.
#
#  Step   Temperature     Kinetic      Potential   Total Energy    Pressure
# -----  ------------  ------------  ------------  ------------  ------------
    491      0.771711      1.157566     -4.965011     -3.807445      0.491623
    492      0.771981      1.157971     -4.965408     -3.807437      0.486637
    493      0.772179      1.158269     -4.965697     -3.807428      0.482234
    494      0.772413      1.158619     -4.966036     -3.807417      0.478062
    495      0.772805      1.159207     -4.966612     -3.807405      0.473180
    496      0.773477      1.160216     -4.967612     -3.807396      0.466626
    497      0.774500      1.161751     -4.969149     -3.807398      0.458354
    498      0.775862      1.163793     -4.971199     -3.807406      0.448707
    499      0.777478      1.166217     -4.973636     -3.807419      0.438107
    500      0.779221      1.168832     -4.976264     -3.807432      0.426834
    501      0.780949      1.171423     -4.978866     -3.807443      0.416117
    502      0.782504      1.173756     -4.981217     -3.807461      0.407120
    503      0.783707      1.175560     -4.983041     -3.807481      0.400501
    504      0.784357      1.176535     -4.984034     -3.807499      0.397161
    505      0.784269      1.176404     -4.983912     -3.807508      0.398019
    506      0.783346      1.175020     -4.982523     -3.807504      0.404048
    507      0.781627      1.172440     -4.979923     -3.807483      0.414200
    508      0.779307      1.168960     -4.976411     -3.807451      0.428069
    509      0.776699      1.165048     -4.972469     -3.807421      0.443706
    510      0.774123      1.161185     -4.968586     -3.807401      0.459541
    511      0.771790      1.157684     -4.965085     -3.807400      0.474785
    512      0.769732      1.154598     -4.962014     -3.807416      0.488761
    513      0.767831      1.151746     -4.959183     -3.807437      0.502164
    514      0.765904      1.148855     -4.956310     -3.807454      0.515570
    515      0.763797      1.145695     -4.953159     -3.807464      0.529937
    516      0.761438      1.142157     -4.949621     -3.807465      0.546126
    517      0.758848      1.138272     -4.945728     -3.807456      0.563085
    518      0.756126      1.134189     -4.941632     -3.807442      0.581303
    519      0.753435      1.130152     -4.937576     -3.807424      0.598827
    520      0.750973      1.126460     -4.933864     -3.807404      0.615376
    521      0.748935      1.123402     -4.930793     -3.807391      0.629668
    522      0.747436      1.121153     -4.928547     -3.807393      0.641765
    523      0.746470      1.119705     -4.927111     -3.807406      0.651148
    524      0.745896      1.118845     -4.926277     -3.807432      0.657460
    525      0.745482      1.118224     -4.925680     -3.807456      0.663078
    526      0.744979      1.117469     -4.924946     -3.807477      0.668941
    527      0.744198      1.116297     -4.923783     -3.807485      0.675123
    528      0.743077      1.114616     -4.922094     -3.807478      0.683124
    529      0.741720      1.112580     -4.920037     -3.807457      0.691572
    530      0.740391      1.110587     -4.918011     -3.807424      0.699543
    531      0.739440      1.109160     -4.916553     -3.807393      0.704722
    532      0.739176      1.108764     -4.916143     -3.807378      0.706424
    533      0.739768      1.109652     -4.917031     -3.807380      0.703216
    534      0.741225      1.111838     -4.919226     -3.807388      0.695249
    535      0.743460      1.115190     -4.922590     -3.807400      0.682845
    536      0.746357      1.119536     -4.926945     -3.807409      0.666101
    537      0.749798      1.124696     -4.932120     -3.807423      0.646231
    538      0.753645      1.130468     -4.937907     -3.807439      0.624131
    539      0.757741      1.136611     -4.944069     -3.807458      0.600468
    540      0.761915      1.142872     -4.950343     -3.807471      0.575832
    541      0.766009      1.149013     -4.956498     -3.807485      0.552841
    542      0.769884      1.154826     -4.962321     -3.807494      0.530985
    543      0.773416      1.160124     -4.967630     -3.807506      0.512295
    544      0.776458      1.164687     -4.972210     -3.807523      0.496077
    545      0.778819      1.168228     -4.975769     -3.807541      0.483815
    546      0.780300      1.170451     -4.978002     -3.807551      0.477041
    547      0.780787      1.171181     -4.978727     -3.807547      0.475684
    548      0.780321      1.170481     -4.978006     -3.807525      0.479542
    549      0.779095      1.168643     -4.976141     -3.807498      0.487468
    550      0.777372      1.166058     -4.973532     -3.807474      0.498210
    551      0.775393      1.163090     -4.970549     -3.807459      0.511437
    552      0.773351      1.160027     -4.967474     -3.807448      0.524288
    553      0.771415      1.157122     -4.964556     -3.807434      0.537502
    554      0.769781      1.154671     -4.962084     -3.807413      0.549080
    555      0.768670      1.153005     -4.960402     -3.807397      0.558029
    556      0.768207      1.152310     -4.959719     -3.807409      0.564057
    557      0.768269      1.152404     -4.959854     -3.807450      0.567823
    558      0.768472      1.152708     -4.960207     -3.807499      0.570766
    559      0.768342      1.152513     -4.960045     -3.807532      0.574548
    560      0.767561      1.151342     -4.958876     -3.807534      0.582024
    561      0.766094      1.149141     -4.956652     -3.807511      0.592852
    562      0.764160      1.146240     -4.953713     -3.807473      0.605505
    563      0.762121      1.143182     -4.950618     -3.807436      0.617919
    564      0.760342      1.140513     -4.947925     -3.807413      0.628629
    565      0.759078      1.138617     -4.946021     -3.807404      0.636879
    566      0.758430      1.137645     -4.945056     -3.807410      0.641207
    567      0.758356      1.137534     -4.944963     -3.807429      0.642352
    568      0.758713      1.138070     -4.945516     -3.807447      0.640500
    569      0.759318      1.138977     -4.946439     -3.807462      0.636612
    570      0.759998      1.139996     -4.947468     -3.807472      0.632371
    571      0.760631      1.140946     -4.948422     -3.807476      0.627714
    572      0.761167      1.141751     -4.949223     -3.807472      0.623210
    573      0.761607      1.142411     -4.949876     -3.807466      0.618010
    574      0.761982      1.142973     -4.950432     -3.807459      0.612796
    575      0.762340      1.143510     -4.950962     -3.807452      0.607123
    576      0.762720      1.144080     -4.951525     -3.807445      0.600514
    577      0.763146      1.144719     -4.952158     -3.807439      0.594073
